OS,Processor,RAM_MB,Cores,Algorithm,Implementation,DataType,Size,Iteration,TimeMillis,TimeNanos
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,QuickSort,Parallel,Random,100,3,0,32600
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Sequential,Random,100,3,0,17900
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Parallel,Random,100,3,1,798700
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Sequential,Random,100,3,0,44800
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Parallel,Random,100,3,0,46700
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Sequential,Random,100,3,0,110000
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Parallel,Random,100,3,0,179400
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Sequential,Random,100,3,0,125000
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Parallel,Random,100,3,1,549200
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,MergeSort,Sequential,Random,100,4,0,16400
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,MergeSort,Parallel,Random,100,4,0,30000
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,QuickSort,Sequential,Random,100,4,0,26800
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,QuickSort,Parallel,Random,100,4,0,32000
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Sequential,Random,100,4,0,107400
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Parallel,Random,100,4,1,489200
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Sequential,Random,100,4,0,37400
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Parallel,Random,100,4,0,42000
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Sequential,Random,100,4,0,142900
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Parallel,Random,100,4,0,250600
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Sequential,Random,100,4,0,137900
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Parallel,Random,100,4,1,319100
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,MergeSort,Sequential,Random,1000,0,0,120200
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,MergeSort,Parallel,Random,1000,0,0,182500
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,QuickSort,Sequential,Random,1000,0,2,164900
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,QuickSort,Parallel,Random,1000,0,1,250700
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Sequential,Random,1000,0,0,154200
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Parallel,Random,1000,0,1,996600
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Sequential,Random,1000,0,0,223700
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Parallel,Random,1000,0,2,2115400
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Sequential,Random,1000,0,2,1921900
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Parallel,Random,1000,0,0,643700
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Sequential,Random,1000,0,1,480000
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Parallel,Random,1000,0,0,838000
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,MergeSort,Sequential,Random,1000,1,0,103000
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,MergeSort,Parallel,Random,1000,1,0,189100
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,QuickSort,Sequential,Random,1000,1,0,146600
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,QuickSort,Parallel,Random,1000,1,1,185900
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Sequential,Random,1000,1,0,63100
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Parallel,Random,1000,1,0,502900
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Sequential,Random,1000,1,0,149300
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Parallel,Random,1000,1,1,744700
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Sequential,Random,1000,1,1,364600
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Parallel,Random,1000,1,0,410500
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Sequential,Random,1000,1,0,258100
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Parallel,Random,1000,1,1,517200
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,MergeSort,Sequential,Random,1000,2,0,89000
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,MergeSort,Parallel,Random,1000,2,0,120300
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,QuickSort,Sequential,Random,1000,2,0,145400
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,QuickSort,Parallel,Random,1000,2,1,166400
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Sequential,Random,1000,2,0,32600
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Parallel,Random,1000,2,0,417800
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Sequential,Random,1000,2,0,150200
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Parallel,Random,1000,2,1,523900
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Sequential,Random,1000,2,0,386900
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Parallel,Random,1000,2,1,516500
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Sequential,Random,1000,2,0,257000
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Parallel,Random,1000,2,1,436200
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,MergeSort,Sequential,Random,1000,3,0,115100
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,MergeSort,Parallel,Random,1000,3,0,113900
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,QuickSort,Sequential,Random,1000,3,0,158500
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,QuickSort,Parallel,Random,1000,3,1,154300
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Sequential,Random,1000,3,0,55900
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Parallel,Random,1000,3,0,641600
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Sequential,Random,1000,3,0,132800
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Parallel,Random,1000,3,2,1339300
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Sequential,Random,1000,3,0,205400
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Parallel,Random,1000,3,0,325600
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Sequential,Random,1000,3,1,178000
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Parallel,Random,1000,3,0,542600
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,MergeSort,Sequential,Random,1000,4,0,90800
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,MergeSort,Parallel,Random,1000,4,1,101000
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,QuickSort,Sequential,Random,1000,4,0,154200
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,QuickSort,Parallel,Random,1000,4,0,149300
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Sequential,Random,1000,4,0,33900
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,RadixSort,Parallel,Random,1000,4,0,441600
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Sequential,Random,1000,4,0,132000
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BitonicSort,Parallel,Random,1000,4,2,546800
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Sequential,Random,1000,4,0,200400
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,SampleSort,Parallel,Random,1000,4,0,408200
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Sequential,Random,1000,4,0,289800
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,BucketSort,Parallel,Random,1000,4,1,473900
Windows 11 10.0,"AMD64 Family 25 Model 117 Stepping 2, AuthenticAMD",3916,16,MergeSort,Sequential,Random,10000,0,1,1289000
